scan_name,sideband_ratio,sideband_fraction_total,eom_offset_kHz,blue_detuning_MHz,cooling_total_intensity_mW_cm2,n_fock,n_ss,pe_ss,total_scattering_rate_kHz,scatter_hz_per_asymptotic_quantum,p_top,p_tail_last2,delta_phi_pol_pi,solver_used,runtime_s
eom_refine_final,0.06,0.056603773584905655,4.25,60.0,4.0,6,0.05741583680945438,2.681632036153938e-05,0.9688284830074086,1027.8429458522078,0.00030572125977463703,0.0012040899152662176,13.678836830511594,direct(w=auto),16.99405440001283
eom_refine_final,0.06,0.056603773584905655,4.5,60.0,4.0,6,0.05728122289336009,2.664915660812839e-05,0.9627891381812903,1021.2898709159583,0.0003066212718611144,0.0012083490788214527,13.678837330857737,direct(w=auto),16.99945360000129
eom_refine_final,0.06,0.056603773584905655,4.75,60.0,4.0,6,0.05722141515742877,2.6514349632197008e-05,0.9579187892210455,1016.059130555031,0.0003078623145264745,0.0012139618818417794,13.678837831203879,direct(w=auto),17.041127899996354
eom_refine_final,0.06,0.056603773584905655,5.0,60.0,4.0,6,0.05724518260594268,2.6416262629760285e-05,0.9543750710489652,1012.3258491396823,0.00030949906662891807,0.0012211464714918362,13.678838331550022,direct(w=auto),16.981703199999174
eom_refine_final,0.06,0.056603773584905655,5.25,60.0,4.0,6,0.057363421395963066,2.636014083324042e-05,0.9523474850769549,1010.3018561907485,0.0003115984581707813,0.0012301699816121407,13.678838831896163,direct(w=auto),17.021487400008482
eom_refine_final,0.06,0.056603773584905655,5.5,60.0,4.0,6,0.05758972230747547,2.635234732167958e-05,0.952065918632305,1010.2456872217292,0.0003142429722977184,0.0012413617410866897,13.678839332242308,direct(w=auto),16.984714699996402
eom_refine_final,0.06,0.056603773584905655,5.75,60.0,4.0,6,0.05794111030165521,2.64006702710091e-05,0.9538117453923592,1012.4757123174941,0.0003175349505606934,0.001255130502735282,13.67883983258845,direct(w=auto),17.001700799999526
eom_refine_final,0.06,0.056603773584905655,6.0,60.0,4.0,6,0.058439008178835496,2.651472325918313e-05,0.9579322877346855,1017.3873982203273,0.00032160220485280945,0.00127198691311046,13.678840332934593,direct(w=auto),17.090787400011322
eom_refine_final,0.06,0.056603773584905655,6.25,60.0,4.0,6,0.05911048730455586,2.6706464759389195e-05,0.9648595851516956,1025.475969423426,0.000326605308466015,0.00129257271899356,13.678840833280736,direct(w=auto),17.020710199998575
eom_refine_final,0.06,0.056603773584905655,6.5,60.0,4.0,6,0.05998987435840018,2.6990865488283998e-05,0.9751345044182678,1037.3659578961385,0.0003327469715183182,0.0013176983465601258,13.67884133362688,direct(w=auto),16.980161600004067
