t_s,t_ms,n,n_fit,pe
0.0014225941422594144,1.4225941422594144,0.23785180992677635,0.19825704190021887,3.734252430030387e-05
0.0014435146443514645,1.4435146443514644,0.2355064055344743,0.19445800176995387,3.699214636307786e-05
0.0014644351464435147,1.4644351464435148,0.2332054121701343,0.190754955646768,3.666339282340728e-05
0.001485355648535565,1.485355648535565,0.23095164064460655,0.18714547795760084,3.635386373226917e-05
0.0015062761506276152,1.5062761506276152,0.2287386250195229,0.1836272044186835,3.6056377375454265e-05
0.0015271966527196654,1.5271966527196654,0.22655897483371054,0.18019783048688276,3.575175525947156e-05
0.0015481171548117156,1.5481171548117156,0.22440119201386088,0.1768551098501772,3.543108655166676e-05
0.0015690376569037659,1.5690376569037658,0.22225389207294083,0.17359685295627525,3.5101944658075466e-05
0.001589958158995816,1.5899581589958158,0.22011713124769655,0.17042092557841265,3.4771726059465645e-05
0.0016108786610878661,1.610878661087866,0.21799924936325535,0.1673252474173889,3.444900103280048e-05
0.0016317991631799164,1.6317991631799165,0.21590854770080473,0.16430779073892768,3.414741794895632e-05
0.0016527196652719666,1.6527196652719667,0.21385351580122644,0.16136657904546814,3.387019239307564e-05
0.0016736401673640169,1.6736401673640169,0.2118397565137943,0.15849968578151766,3.360624975576611e-05
0.001694560669456067,1.694560669456067,0.20986277267891434,0.15570523307171721,3.334496913211644e-05
0.0017154811715481173,1.7154811715481173,0.2079113275796072,0.1529813904907938,3.307903856782115e-05
0.0017364016736401676,1.7364016736401675,0.20597601049209277,0.15032637386459305,3.280117394745366e-05
0.0017573221757322178,1.7573221757322177,0.2040508816123868,0.1477384441014081,3.2512797013166073e-05
0.0017782426778242678,1.778242677824268,0.20213454678559473,0.14521590605283763,3.222607902764154e-05
0.001799163179916318,1.7991631799163181,0.2002336382195889,0.14275710740342823,3.195137200039481e-05
0.0018200836820083683,1.8200836820083683,0.1983589551931467,0.14036043758837283,3.169285108789874e-05
0.0018410041841004185,1.8410041841004186,0.1965173971297906,0.13802432673855702,3.145211605298774e-05
0.0018619246861924688,1.8619246861924688,0.1947104151881155,0.1357472446522619,3.122395516760565e-05
0.001882845188284519,1.882845188284519,0.1929348580460262,0.1335276997928494,3.099588185848733e-05
0.0019037656903765693,1.9037656903765692,0.19118209408730677,0.13136423831177488,3.075905342320113e-05
0.0019246861924686193,1.9246861924686192,0.18944202573530716,0.12925544309628548,3.0512607232037922e-05
0.0019456066945606695,1.9456066945606696,0.18770988115634415,0.12719993284118156,3.025953583285709e-05
0.0019665271966527197,1.9665271966527198,0.18598709346800368,0.12519636114403276,3.0007288644157108e-05
0.00198744769874477,1.9874476987447702,0.18427906625594645,0.12324341562325608,2.97666228437357e-05
0.0020083682008368202,2.0083682008368204,0.18259402610205025,0.12133981705847838,2.9543001359817364e-05
0.0020292887029288702,2.0292887029288704,0.18093914823032514,0.1194843185526201,2.933360730617395e-05
0.0020502092050209207,2.050209205020921,0.1793155097241436,0.11767570471515149,2.9132112840425793e-05
0.0020711297071129707,2.071129707112971,0.1777182883125359,0.1159127908659863,2.89305465965317e-05
0.002092050209205021,2.0920502092050213,0.17614019353756116,0.11419442225949131,2.8720925678753633e-05
0.002112970711297071,2.1129707112970713,0.17457380815851511,0.1125194733281038,2.8501233860291223e-05
0.0021338912133891217,2.1338912133891217,0.17301462347983332,0.11088684694506104,2.82769772216542e-05
0.0021548117154811717,2.1548117154811717,0.17146410069434456,0.10929547370575922,2.805602512414892e-05
0.002175732217573222,2.175732217573222,0.16992838852708492,0.10774431122727084,2.7845362843662426e-05
0.002196652719665272,2.196652719665272,0.16841429043818165,0.1062323434655623,2.7649569028523657e-05
0.002217573221757322,2.217573221757322,0.16692665750865704,0.10475858004996333,2.7467212121651322e-05
0.0022384937238493726,2.2384937238493725,0.16546647689495383,0.10332205563445357,2.729082659209843e-05
0.0022594142259414226,2.2594142259414225,0.16402959969130593,0.10192182926534063,2.7112330253867128e-05
0.002280334728033473,2.280334728033473,0.16260888884286465,0.10055698376491556,2.6926666050940688e-05
0.002301255230125523,2.301255230125523,0.161198315797991,0.09922662513068231,2.6732645163775103e-05
0.0023221757322175736,2.322175732217574,0.15979522835504248,0.09792988194976708,2.653430239381794e-05
0.0023430962343096236,2.3430962343096238,0.15840102597799147,0.09666590482812482,2.6339582691012333e-05
0.0023640167364016736,2.3640167364016738,0.15702086053159708,0.09543386583416802,2.6155225354075827e-05
0.002384937238493724,2.384937238493724,0.15566096015338377,0.09423295795645437,2.5983600762368497e-05
0.002405857740585774,2.405857740585774,0.15432500825845863,0.09306239457507709,2.5822812347917725e-05
0.0024267782426778245,2.4267782426778246,0.15301269236685283,0.09192140894641246,2.5667113955231627e-05
0.0024476987447698746,2.4476987447698746,0.15172024706460013,0.09080925370088663,2.550901993820571e-05
0.002468619246861925,2.468619246861925,0.15044186895613293,0.08972520035343276,2.5343709717151972e-05
0.002489539748953975,2.489539748953975,0.14917240236320334,0.0886685388263181,2.5171331883517772e-05
0.002510460251046025,2.510460251046025,0.1479100876762703,0.08763857698402802,2.4995930945618432e-05
0.0025313807531380755,2.5313807531380754,0.14665703464846785,0.0866346401799028,2.4823725083923573e-05
0.0025523012552301255,2.5523012552301254,0.1454177212181866,0.08565607081422982,2.4660674418530666e-05
0.002573221757322176,2.573221757322176,0.14419697885162366,0.08470222790350199,2.4509104450332005e-05
0.002594142259414226,2.594142259414226,0.14299768669057378,0.08377248666056002,2.4366541982244085e-05
0.0026150627615062765,2.6150627615062763,0.14181908658654527,0.08286623808534367,2.4227660619076424e-05
0.0026359832635983265,2.6359832635983267,0.14065728207033723,0.08198288856598403,2.4086713842564706e-05
0.002656903765690377,2.656903765690377,0.13950736786083417,0.08112185948997508,2.393976369316229e-05
0.002677824267782427,2.677824267782427,0.13836554820618874,0.08028258686517058,2.378683684828265e-05
0.002698744769874477,2.698744769874477,0.137230745074754,0.07946452095035708,2.363196204295793e-05
0.0027196652719665274,2.7196652719665275,0.136105172329062,0.07866712589516207,2.3480667160301812e-05
0.0027405857740585775,2.7405857740585775,0.13499305908450995,0.07788987938906067,2.333738210954968e-05
0.002761506276150628,2.761506276150628,0.1338983046954247,0.07713227231925121,2.320376414475467e-05
0.002782426778242678,2.782426778242678,0.13282267755482102,0.07639380843717572,2.3077760881075596e-05
0.0028033472803347284,2.8033472803347284,0.1317650616438062,0.07567400403346655,2.295450373174822e-05
0.0028242677824267784,2.8242677824267783,0.1307218528222683,0.0749723876211068,2.2829013985667565e-05
0.002845188284518829,2.8451882845188288,0.12968869781036446,0.07428849962659613,2.2698529739023052e-05
0.002866108786610879,2.8661087866108788,0.1286626784047252,0.07362189208892071,2.2563405728879615e-05
0.002887029288702929,2.8870292887029287,0.1276435233186061,0.07297212836612915,2.2426951270737534e-05
0.0029079497907949794,2.907949790794979,0.12663350706448484,0.07233878284932296,2.2293908853856498e-05
0.0029288702928870294,2.9288702928870296,0.1256363298472242,0.07172144068387375,2.2167917245129734e-05
0.00294979079497908,2.94979079497908,0.12465524948589816,0.07111969749768461,2.204979311362128e-05
0.00297071129707113,2.97071129707113,0.12369135634719439,0.07053315913631814,2.1937472976191036e-05
0.0029916317991631803,2.9916317991631804,0.12274309097548036,0.06996144140481671,2.182701114162235e-05
0.0030125523012552303,3.0125523012552304,0.12180707530830542,0.06940416981604691,2.1714362159150948e-05
0.0030334728033472804,3.0334728033472804,0.1208796394171562,0.0688609793454025,2.159744862541565e-05
0.003054393305439331,3.054393305439331,0.1199584984479489,0.06833151419170563,2.1477112972564125e-05
0.003075313807531381,3.075313807531381,0.11904382681131195,0.06781542754414963,2.135643091243448e-05
0.0030962343096234313,3.0962343096234313,0.11813802522040741,0.06731238135513055,2.1239197646122394e-05
0.0031171548117154813,3.1171548117154813,0.1172443942358721,0.06682204611881902,2.112821107315341e-05
0.0031380753138075318,3.1380753138075317,0.1163655280442788,0.06634410065532684,2.1023868255598798e-05
0.0031589958158995818,3.1589958158995817,0.11550206356258061,0.06587823190032753,2.0924007947632866e-05
0.003179916317991632,3.1799163179916317,0.11465231094748726,0.06542413469999252,2.08251545857145e-05
0.0032008368200836823,3.200836820083682,0.11381307191270952,0.06498151161110906,2.0724206239345002e-05
0.0032217573221757323,3.221757322175732,0.11298119525269265,0.0645500727062486,2.0619796914396967e-05
0.0032426778242677827,3.242677824267783,0.11215498653528705,0.06412953538385824,2.051294344022089e-05
0.0032635983263598328,3.263598326359833,0.11133489392455828,0.06371962418315084,2.0406516742553048e-05
0.003284518828451883,3.2845188284518834,0.11052322541331998,0.06332007060367227,2.0303704690006772e-05
0.0033054393305439332,3.3054393305439334,0.1097229492141094,0.06293061292942814,2.0206458282207233e-05
0.0033263598326359837,3.326359832635984,0.10893617680199938,0.06255099605745419,2.0114660006651658e-05
0.0033472803347280337,3.3472803347280338,0.1081631517781836,0.06218097133071853,2.0026196624620002e-05
0.0033682008368200837,3.3682008368200838,0.10740215607672442,0.06182029637524608,1.9937979572293024e-05
0.003389121338912134,3.389121338912134,0.10665029680143562,0.061468734941358454,1.9847507319363468e-05
0.003410041841004184,3.410041841004184,0.1059048514317616,0.061126056748925586,1.975405012288936e-05
0.0034309623430962347,3.4309623430962346,0.10516452559502214,0.06079203733652721,1.9658883447825004e-05
0.0034518828451882847,3.4518828451882846,0.10442995961284428,0.06046645791442609,1.9564631406233722e-05
0.003472803347280335,3.472803347280335,0.10370329880126429,0.06014910522125605,1.9473996934416613e-05
0.003493723849372385,3.493723849372385,0.102987105614597,0.05983977138433131,1.9388409391981962e-05
0.0035146443514644356,3.5146443514644354,0.10228309459383755,0.059538253783485526,1.930734869684657e-05
0.0035355648535564856,3.5355648535564854,0.10159127989223468,0.05924435491835128,1.922868015933096e-05
0.0035564853556485356,3.556485355648536,0.10090997902263207,0.05895788227899325,1.914970238186489e-05
0.003577405857740586,3.5774058577405863,0.10023662713320704,0.0586786482198101,1.9068420911018975e-05
0.003598326359832636,3.5983263598326363,0.09956895303110072,0.05840646983662268,1.8984511139243768e-05
0.0036192468619246866,3.6192468619246867,0.09890598573489862,0.05814116884686797,1.8899445434247633e-05
0.0036401673640167366,3.6401673640167367,0.09824843750196786,0.05788257147282022,1.8815712512531576e-05
0.003661087866108787,3.661087866108787,0.09759826458815175,0.05763050832776289,1.8735604002333415e-05
0.003682008368200837,3.682008368200837,0.09695764826609032,0.05738481430503682,1.8660143063341583e-05
0.003702928870292887,3.702928870292887,0.09632792589643657,0.057145328469891864,1.858860138882398e-05
0.0037238493723849376,3.7238493723849375,0.09570895387661271,0.05691189395407125,1.8518868711563796e-05
0.0037447698744769876,3.7447698744769875,0.09509917367634659,0.0566843578530596,1.844850761379343e-05
0.003765690376569038,3.765690376569038,0.0944963540958168,0.056462571125927216,1.8375915592572018e-05
0.003786610878661088,3.786610878661088,0.09389863347262821,0.05624638849770519,1.830104301034211e-05
0.0038075313807531385,3.8075313807531384,0.09330533547438269,0.05603566836422719,1.8225385973590636e-05
0.0038284518828451885,3.8284518828451883,0.09271719677136117,0.05583027269937578,1.8151244701102283e-05
0.0038493723849372385,3.8493723849372383,0.09213593398005727,0.055630066964672445,1.8080589214854353e-05
0.003870292887029289,3.870292887029289,0.09156335782587292,0.05543492002115198,1.8014122202964765e-05
0.003891213389121339,3.891213389121339,0.09100046801571893,0.055244704043463794,1.7950981773333186e-05
0.0039121338912133895,3.9121338912133896,0.09044697549567685,0.05505929443614355,1.7889170984140293e-05
0.0039330543933054395,3.9330543933054396,0.0899014527735094,0.05487856975200057,1.782651109061776e-05
0.0039539748953974895,3.9539748953974896,0.08936200619776415,0.05470241161256734,1.7761678745277517e-05
0.00397489539748954,3.9748953974895405,0.08882714768021668,0.05453070463055913,1.7694804880598386e-05
0.00399581589958159,3.9958158995815904,0.08829644900099892,0.05436333633429292,1.7627357827063125e-05
0.0040167364016736404,4.016736401673641,0.08777066265698341,0.05420019709401603,1.7561414942869056e-05
0.0040376569037656905,4.037656903765691,0.0872512775512744,0.05404118005009639,1.7498672300193243e-05
0.0040585774058577405,4.058577405857741,0.08673975167132295,0.05388618104302719,1.7439645254209585e-05
0.004079497907949791,4.079497907949792,0.08623678707410516,0.053735098545200234,1.7383452356033053e-05
0.004100418410041841,4.100418410041842,0.08574198510163857,0.05358783359440323,1.732827628483224e-05
0.004121338912133891,4.121338912133892,0.08525404230956408,0.05344428972899742,1.7272241986412503e-05
0.0041422594142259414,4.142259414225942,0.08477137206181232,0.05330437292473322,1.7214289733278105e-05
0.004163179916317992,4.163179916317993,0.08429283241704408,0.05316799153316236,1.7154649410364855e-05
0.004184100418410042,4.1841004184100425,0.083818216661085,0.05303505622160619,1.7094692450463325e-05
0.004205020920502092,4.2050209205020925,0.08334828572374002,0.052905479914640924,1.7036242396201666e-05
0.004225941422594142,4.2259414225941425,0.08288433590324543,0.052779177737061395,1.6980701288935357e-05
0.004246861924686192,4.2468619246861925,0.08242752510071034,0.05265606695828602,1.6928407423965023e-05
0.004267782426778243,4.267782426778243,0.08197829377430271,0.05253606693816653,1.687850530693641e-05
0.004288702928870293,4.288702928870293,0.08153614914025617,0.052419099074166975,1.6829380124447348e-05
0.004309623430962343,4.309623430962343,0.08109989888834163,0.0523050867498774,1.6779441314093128e-05
0.004330543933054393,4.330543933054393,0.08066821302652473,0.05219395528482849,1.6727863159931305e-05
0.004351464435146444,4.351464435146444,0.0802402351332106,0.05208563188557431,1.667493411675678e-05
0.004372384937238494,4.372384937238494,0.07981594400070868,0.05198004559801106,1.6621875471051504e-05
0.004393305439330544,4.393305439330544,0.07939610316093805,0.05187712726090062,1.6570229856640546e-05
0.004414225941422594,4.414225941422594,0.07898183966195245,0.05177680946056853,1.652111579759813e-05
0.004435146443514644,4.435146443514644,0.07857406206301247,0.051679026486746556,1.647471155524185e-05
0.004456066945606695,4.456066945606695,0.07817299985023267,0.05158371428953116,1.6430205714240154e-05
0.004476987447698745,4.476987447698745,0.07777808425965702,0.051490810437429396,1.6386213081623586e-05
0.004497907949790795,4.497907949790795,0.07738821584297725,0.051400254076465,1.6341444136940463e-05
0.004518828451882845,4.518828451882845,0.07700227644838119,0.051311985890317775,1.6295307470378448e-05
0.004539748953974895,4.539748953974895,0.07661963592698881,0.05122594806147012,1.6248158031716756e-05
0.004560669456066946,4.560669456066946,0.07624041238340286,0.05114208423333534,1.620108540794917e-05
0.004581589958158996,4.581589958158996,0.07586536590764797,0.05106033947334294,1.615536588103437e-05
0.004602510460251046,4.602510460251046,0.07549548772774868,0.05098066023695658,1.6111849760357375e-05
0.004623430962343096,4.623430962343097,0.07513149210731367,0.05090299433260134,1.607057229306366e-05
0.004644351464435147,4.644351464435148,0.0747734551008047,0.05082729088747707,1.6030766987218336e-05
0.004665271966527197,4.6652719665271976,0.07442076757841877,0.05075350031423569,1.5991261631855622e-05
0.004686192468619247,4.6861924686192475,0.0740724180154929,0.05068157427850043,1.595105030306596e-05
0.004707112970711297,4.7071129707112975,0.07372746097071747,0.05061146566720576,1.5909762351966954e-05
0.004728033472803347,4.7280334728033475,0.07338544119273847,0.050543128557737384,1.586781189631941e-05
0.004748953974895398,4.748953974895398,0.07304657298264225,0.05047651818785193,1.5826167075825814e-05
0.004769874476987448,4.769874476987448,0.07271159645578423,0.05041159092635678,1.5785862003046222e-05
0.004790794979079498,4.790794979079498,0.07238138659999996,0.05034830424453068,1.5747496479025972e-05
0.004811715481171548,4.811715481171548,0.07205650810362758,0.05028661668826653,1.5710962752833893e-05
0.004832635983263599,4.832635983263599,0.07173693056920696,0.050226487850918135,1.567551922411782e-05
0.004853556485355649,4.853556485355649,0.07142203454019545,0.050167878346832916,1.5640164884285983e-05
0.004874476987447699,4.874476987447699,0.07111089680669092,0.05011074978555355,1.5604126290954895e-05
0.004895397489539749,4.895397489539749,0.07080271299361693,0.050055064746671374,1.5567217566530884e-05
0.004916317991631799,4.916317991631799,0.0704971533435109,0.05000078675531525,1.5529904509889968e-05
0.00493723849372385,4.93723849372385,0.07019448363580429,0.04994788025825974,1.5493054167956825e-05
0.0049581589958159,4.9581589958159,0.06989540053607979,0.049896310600637026,1.5457500173652856e-05
0.00497907949790795,4.97907949790795,0.0696006678537348,0.049846044003237194,1.5423637541176066e-05
0.005,5.0,0.0693107309365787,0.04979704754038219,1.5391242079863824e-05
